"POLRES_ID","POLRES_NAMA","POLRES_KODE","POLDA_ID"
1.00,"POLRESTA BANDA ACEH",1.00,1.00
2.00,"ACEH PIDIE",2.00,1.00
3.00,"POLRESTA LHOKSEUMAWE",3.00,1.00
4.00,"POLRESTA LANGSA",4.00,1.00
5.00,"ACEH BARAT",5.00,1.00
6.00,"ACEH SELATAN",6.00,1.00
7.00,"ACEH TENGAH",7.00,1.00
8.00,"ACEH TENGGARA",8.00,1.00
9.00,"SABANG",9.00,1.00
10.00,"BIREUEN",10.00,1.00
11.00,"ACEH BESAR",11.00,1.00
12.00,"SIMEULUE",12.00,1.00
13.00,"ACEH TAMIANG",13.00,1.00
14.00,"SINGKIL",14.00,1.00
15.00,"ACEH BARAT DAYA",15.00,1.00
16.00,"ACEH UTARA",16.00,1.00
17.00,"MEDAN",1.00,2.00
18.00,"POLRESTA TEBING TINGGI",2.00,2.00
19.00,"POLRESTA BINJAI",3.00,2.00
20.00,"TANAH KARO",4.00,2.00
21.00,"SIMALUNGUN",5.00,2.00
22.00,"ASAHAN",6.00,2.00
23.00,"LABUAN BATU",7.00,2.00
24.00,"TAPANULI UTARA",8.00,2.00
25.00,"DAIRI",9.00,2.00
26.00,"POLRESTA TAPANULI SELATAN",10.00,2.00
27.00,"TAPANULI TENGAH",11.00,2.00
28.00,"NIAS",12.00,2.00
29.00,"MADINA",13.00,2.00
30.00,"DELI SERDANG",14.00,2.00
31.00,"LANGKAT",15.00,2.00
32.00,"POLTABES PADANG",1.00,3.00
33.00,"PESISIR SELATAN",2.00,3.00
34.00,"PASAMAN TIMUR",3.00,3.00
35.00,"PAYAKUMBUH",4.00,3.00
36.00,"POLRESTA BUKIT TINGGI",5.00,3.00
37.00,"PADANG PARIAMAN",6.00,3.00
38.00,"POLRESTA TANAH DATAR",7.00,3.00
39.00,"SIJUNJUNG",8.00,3.00
40.00,"POLRESTA SOLOK",9.00,3.00
41.00,"AGAM",10.00,3.00
42.00,"SOLOK KAYU ARU",11.00,3.00
43.00,"LIMA PULUH KOTA",12.00,3.00
44.00,"POLTABES PEKANBARU",1.00,4.00
45.00,"INDRAGIRI HULU",2.00,4.00
46.00,"POLRESTA DUMAI",3.00,4.00
47.00,"KAMPAR",4.00,4.00
48.00,"INDRAGIRI HILIR",5.00,4.00
49.00,"POLTABES PELALAWAN",6.00,4.00
50.00,"BENGKALIS",7.00,4.00
51.00,"ROKAN HILIR",8.00,4.00
